LowerBound_X,LowerBound_Y,UpperBound_X,UpperBound_Y,Position_X,Position_Y
26830.604069999998,-843.4294699999999,26856.16565,-820.16999,26842.906000000003,-834.34951
26191.97553,-432.25945,26201.97553,-422.25945,26196.47553,-427.25945
26660.00328,351.81444,26688.00328,409.81444,26673.50328,380.81444
27639.90992,-309.5731,27666.40992,-254.5731,27638.90992,-309.5731
27343.448780000002,823.1313299999999,27375.1662,855.84876,27358.706019999998,839.5705
28432.2293,531.39098,28435.7293,561.39098,28434.2293,531.39098
27430.27848,-170.519,27449.24698,-115.51899999999999,27429.27848,-170.519
26208.90288,602.60204,26265.90288,631.60204,26236.90288,617.10204
28746.318160000003,-534.92714,28781.318160000003,-530.42714,28745.318160000003,-533.42714
26750.68088,526.17749,26759.68088,537.17749,26754.68088,531.67749
28816.52753,494.05059000000006,28825.52753,505.05059000000006,28820.52753,499.55059000000006
26539.55468,-386.37396,26560.30468,-371.18396,26538.55468,-371.18396
28043.452839999998,202.40498,28046.952839999998,262.40497999999997,28043.952839999998,262.40497999999997
26591.29739,203.50677,26648.29739,232.50677000000002,26619.29739,218.00677000000002
28820.67774,-593.6691099999999,28824.17774,-533.6691099999999,28822.67774,-593.6691099999999
28347.83105,329.64218999999997,28368.58105,344.83218999999997,28368.58105,329.64218999999997
28311.34884,-606.3032599999999,28370.248839999997,-596.3032599999999,28310.34884,-601.3032599999999
26208.81742,636.15679,26265.81742,665.15679,26236.81742,650.65679
26414.0889,-569.0564400000001,26439.735969999998,-542.73708,26426.18007,-555.89676
27623.85406,-263.40219,27634.55006,-235.21842999999998,27628.702060000003,-251.9731
26574.615,-450.30077,26578.115,-390.30077,26576.615,-450.30077
26525.462180000002,-1164.08925,26551.02375,-1140.8297699999998,26537.721830000002,-1149.90973
28208.30072,439.92103,28233.620089999997,466.5681,28220.4604,453.47693
28337.04005,-513.30077,28366.04005,-508.80077,28366.04005,-510.30077
26934.465610000003,471.09733,26959.78498,497.7444,26946.6253,484.1885
26483.63459,-395.44791000000004,26492.63459,-384.44791000000004,26487.63459,-389.94791000000004
28854.159289999996,-806.8389900000001,28879.47866,-780.19193,28866.31898,-793.2831
27971.88469,862.9874599999999,28000.88469,922.9874599999999,27970.88469,862.9874599999999
26571.115,-390.20077000000003,26580.115,-330.30077,26575.115,-330.30077
26367.18449,-518.53462,26377.18449,-508.53462,26371.68449,-513.53462
28775.789080000002,-585.24723,28801.108439999996,-558.60016,28787.948760000003,-571.6913400000001
27452.1219,-348.63991,27471.1219,-328.63991,27471.1219,-328.63991
28024.49795,360.5386,28033.49795,371.5386,28028.49795,366.0386
27354.89313,655.96735,27372.20563,667.96735,27354.70563,667.96735
26373.259430000002,-363.03643,26398.57879,-336.38937000000004,26385.41911,-349.48054
26707.10989,227.00677000000002,26716.10989,238.00677000000002,26711.10989,232.50677000000002
26462.87211,-606.40698,26521.772109999998,-596.40698,26461.87211,-601.40698
26492.83439,-1164.08925,26518.395959999998,-1140.8297699999998,26505.09404,-1149.90973
27381.46603,865.1143300000001,27413.18345,897.83175,27396.9262,881.39259
26835.55257,406.45828,26844.55257,417.45828,26839.55257,411.95828
26195.97553,-487.44695,26199.47553,-427.44695,26196.47553,-427.44695
